country_name,notes,time_format,source,source_url
Australia,Country,weekly,HMD,
Austria,Country,weekly,HMD,
Azerbaijan,Country,weekly,stat.gov.az,http://stat.gov.az/news/source/2020_11ay.zip
Belgium,Country,weekly,HMD,
Bolivia,Country,monthly,NYT,
Brazil,Country,monthly,Brazil Civil Registry,https://transparencia.registrocivil.org.br/registros
Bulgaria,Country,weekly,HMD,
Canada,Country,weekly,HMD,
Chile,Country,weekly,HMD,
Colombia,Country,weekly,dane.gov.co,https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/informe-de-seguimiento-defunciones-por-covid-19
Croatia,Country,weekly,HMD,
Czechia,Country,weekly,HMD,
Denmark,Country,weekly,HMD,
Ecuador,Country,weekly,Ecuador Civil Registry,https://www.registrocivil.gob.ec/cifrasdefuncion/
Egypt,Country,monthly,capmas.gov.eg,https://www.capmas.gov.eg/Pages/Publications.aspx?page_id=5107&Year=23518
England & Wales,Country,weekly,HMD,
Estonia,Country,weekly,HMD,
Finland,Country,weekly,HMD,
France,Country,weekly,HMD,
Germany,Country,weekly,HMD,
Greece,Country,weekly,HMD,
Hong Kong,Country,weekly,Hong Kong Census and Statistics Department,https://www.censtatd.gov.hk/hkstat/sub/sp110.jsp?productCode=B1010002
Hungary,Country,weekly,HMD,
Iceland,Country,weekly,HMD,
India,City (Mumbai),weekly,NYT,
Indonesia,City (Jakarta),weekly,NYT,
Israel,Country,weekly,HMD,
Italy,Country,weekly,HMD,
Japan,Country,weekly,Japan e-stat,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450011&kikan=00450&tstat=000001028897&cycle=1&tclass1=000001053058&tclass2=000001053059&tclass3val=0
Latvia,Country,weekly,HMD,
Lithuania,Country,weekly,HMD,
Luxembourg,Country,weekly,HMD,
Mexico,Country,weekly,Mexico Ministry of Health,https://coronavirus.gob.mx/exceso-de-mortalidad-en-mexico/
Mongolia,Country,weekly,Mongolian Statistical Information Service,http://www.1212.mn/tables.aspx?tbl_id=DT_NSO_2100_027V2&SOUM_select_all=0&SOUMSingleSelect=_0&YearM_select_all=0&YearMSingleSelect=_202011_202010_202009_202008_202007_202006_202005_202004_202003_202002_202001_202012&viewtype=table
Netherlands,Country,weekly,HMD,
New Zealand,Country,weekly,HMD,
Northern Ireland,Country,weekly,HMD,
Norway,Country,weekly,HMD,
Philippines,Country,monthly,Philippine Statistics Authority,https://psa.gov.ph/vital-statistics/table
Poland,Country,weekly,HMD,
Portugal,Country,weekly,HMD,
Republic of Korea,Country,weekly,HMD,
Romania,Country,weekly,EuroStat,https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=demo_r_mwk_ts&lang=en
Romania,Country,monthly,Romanian National Institute of Statistics,https://insse.ro/cms/en/comunicate-de-presa-view?field_categorie_value_i18n%5B%5D=15&created=1&field_cuvinte_cheie_value=&items_per_page=10
Russia,Country,monthly,RoStat,https://rosstat.gov.ru/folder/313/document/110097?fbclid=IwAR2c1IlRHvg_kxyquSxGSlEQRL_Y782nHOGTrixlwCL13952x2ParPfT8Qc
Scotland,Country,weekly,HMD,
Singapore,Country,monthly,SingStat,https://www.tablebuilder.singstat.gov.sg/publicfacing/createDataTable.action?refId=15167
Slovakia,Country,weekly,HMD,
Slovenia,Country,weekly,HMD,
South Africa,Country,weekly,South African Medical Research Council (SAMRC),https://www.samrc.ac.za/reports/report-weekly-deaths-south-africa
Spain,Country,weekly,HMD,
Sweden,Country,weekly,HMD,
Switzerland,Country,weekly,HMD,
Taiwan,Country,weekly,HMD,
Thailand,Country,weekly,stat.bora.dopa,https://stat.bora.dopa.go.th/stat/statnew/statMenu/newStat/home.php
Turkey,City (Istanbul),weekly,Turkish Science Academy (NGO),https://sarkac.org/2021/01/istanbulda-haftalik-vefat-sayilari/
United States of America,Country,weekly,HMD,
The United Kingdom,Country,weekly,HMD,
Serbia,Country,weekly,EuroStat,
Serbia,Country,monthly,Statstical Office of the Republic of Serbia,https://www.stat.gov.rs/en-us/oblasti/stanovnistvo/rodjeni-i-umrli/
Iran,Country,quarterly,,https://www.sabteahval.ir/avej/Page.aspx?mId=49826&ID=2182&Page=Magazines/SquareshowMagazine
Indonesia,Province (Jakarta),quarterly,,https://data.jakarta.go.id/dataset/data-penerbitan-akta-kematian-tahun-2020 
Armenia,Country,weekly,EuroStat,https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=demo_r_mwk_ts&lang=en
Ukraine,Country,monthly,State Statstics Office of Ukraine,http://www.ukrstat.gov.ua/operativ/operativ2020/ds/kjp_reg/xls/kjp_reg1020_ue.xls
Ireland,Country,quarterly,Ireland Central Statistics Office,https://www.cso.ie/en/statistics/birthsdeathsandmarriages/vitalstatistics/
